detected_at,match_number,round,date,team1,team2,score,actual_advancing_team,predicted_advancing_team,actual_advance_probability,signals,adjustment_team,adjustment_points,adjustment_reason,active_until,source,status
2026-07-10T02:56:26+00:00,83,Round of 32,2026-07-02,Portugal,Croatia,2-1,Portugal,Portugal,0.5224,no special signal,,,,2026-07-11,match_intelligence_agent,note_only
2026-07-10T02:56:26+00:00,84,Round of 32,2026-07-02,Spain,Austria,3-0,Spain,Spain,0.8365,controlled 3-goal win,Spain,18,Spain vs Austria: controlled 3-goal win,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,85,Round of 32,2026-07-02,Switzerland,Algeria,2-0,Switzerland,Switzerland,0.7193,controlled 2-goal win,Switzerland,16,Switzerland vs Algeria: controlled 2-goal win,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,86,Round of 32,2026-07-03,Argentina,Cabo Verde,3-2,Argentina,Argentina,0.9346,hard win despite favorite probability 93.5% | narrow one-goal win as clear favorite | 2 consecutive hard knockout wins,Argentina,-32,Argentina vs Cabo Verde: hard win despite favorite probability 93.5%; narrow one-goal win as clear favorite; 2 consecutive hard knockout wins,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,87,Round of 32,2026-07-03,Colombia,Ghana,1-0,Colombia,Colombia,0.8536,hard win despite favorite probability 85.4% | narrow one-goal win as clear favorite,Colombia,-22,Colombia vs Ghana: hard win despite favorite probability 85.4%; narrow one-goal win as clear favorite,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,88,Round of 32,2026-07-03,Australia,Egypt,1-1,Egypt,Egypt,0.5617,advanced after penalties,Egypt,8,Egypt vs Australia: advanced after penalties,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,89,Round of 16,2026-07-04,Paraguay,France,0-1,France,France,0.9022,hard win despite favorite probability 90.2% | narrow one-goal win as clear favorite,France,-22,France vs Paraguay: hard win despite favorite probability 90.2%; narrow one-goal win as clear favorite,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,90,Round of 16,2026-07-04,Canada,Morocco,0-3,Morocco,Morocco,0.7788,controlled 3-goal win,Morocco,18,Morocco vs Canada: controlled 3-goal win,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,91,Round of 16,2026-07-05,Brazil,Norway,1-2,Norway,Brazil,0.328,upset over model pick Brazil | very low pre-match advance probability 32.8%,Norway,42,Norway vs Brazil: upset over model pick Brazil; very low pre-match advance probability 32.8%,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,92,Round of 16,2026-07-05,Mexico,England,2-3,England,England,0.5137,no special signal,,,,2026-07-11,match_intelligence_agent,note_only
2026-07-10T02:56:26+00:00,93,Round of 16,2026-07-06,Portugal,Spain,0-1,Spain,Spain,0.6253,no special signal,,,,2026-07-11,match_intelligence_agent,note_only
2026-07-10T02:56:26+00:00,94,Round of 16,2026-07-06,USA,Belgium,1-4,Belgium,Belgium,0.5148,controlled 3-goal win,Belgium,18,Belgium vs USA: controlled 3-goal win,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,95,Round of 16,2026-07-07,Argentina,Egypt,3-2,Argentina,Argentina,0.8507,hard win despite favorite probability 85.1% | narrow one-goal win as clear favorite | 2 consecutive hard knockout wins,Argentina,-32,Argentina vs Egypt: hard win despite favorite probability 85.1%; narrow one-goal win as clear favorite; 2 consecutive hard knockout wins,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,96,Round of 16,2026-07-07,Switzerland,Colombia,0-0,Switzerland,Switzerland,0.5622,advanced after penalties,Switzerland,8,Switzerland vs Colombia: advanced after penalties,2026-07-11,match_intelligence_agent,context_candidate
2026-07-10T02:56:26+00:00,97,Quarter-final,2026-07-09,France,Morocco,2-0,France,France,0.7073,controlled 2-goal win,France,16,France vs Morocco: controlled 2-goal win,2026-07-15,match_intelligence_agent,context_candidate
